Catégorie,Manifeste IIIF,OCR-relu,Contributeur,Source,Ville,Lieu d'exposition (section unique),Titre de l’exposition,Année début,Mois début,Jour début,Année fin,Mois fin,Jour fin,Pays d'aujourd'hui,(État d'aujourd'hui),,Pays d’époque,Ville d’époque,,adresse complète de la section telle que dans le catalogue,numéro de rue de la section,Rue de la section,étage de la section,lieu dit de la section,complément d’adresse de la section
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k1181043p/manifest.json,,,ark:/12148/bpt6k1181043p,Rouen,Musée de Rouen,"Catalogue de la dix-neuvième exposition municipale ouverte au musée de Rouen
",1862,octobre ,1,1862,novembre ,15,France ,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k11810443/manifest.json,,,ark:/12148/bpt6k11810443,Rouen,Musée de Rouen,"Catalogue de la vingtième exposition municipale des beaux-arts ouverte au musée de Rouen
",1864,octobre ,1,1864,novembre ,15,France ,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k1181045h/manifest.json,,,ark:/12148/bpt6k1181045h,Rouen,Musée de Rouen,"Catalogue de la vingt-deuxième exposition municipale des beaux-arts ouverte au musée de Rouen
",1869,avril,8,1869,mai,23,France ,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k1181046x/manifest.json,,,ark:/12148/bpt6k1181046x,Rouen,Musée de Rouen,"Catalogue de la vingt-troisième exposition municipale des beaux-arts ouverte au musée de Rouen

",1872,mars ,31,1872,mai ,15,France ,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k1181047b/manifest.json,,,ark:/12148/bpt6k1181047b,Rouen,Musée de Rouen,"Catalogue de la vingt-quatrième exposition municipale des beaux-arts ouverte au musée de Rouen

",1874,mai ,14,1874,juin,30,France ,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k1181048r/manifest.json,,,ark:/12148/bpt6k1181048r,Rouen,Musée de Rouen,"Catalogue de la vingt-cinquième exposition municipale des beaux-arts ouverte au musée de Rouen

",1876,octobre ,1,1876,novembre ,15,France ,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k11818013/manifest.json,,,ark:/12148/bpt6k11818013,Rouen,Musée de Rouen,"Catalogue de la vingt-sixième exposition municipale des beaux-arts ouverte au musée de Rouen

",1878,octobre ,1,1878,novembre ,15,France ,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k1181802h/manifest.json,,,ark:/12148/bpt6k1181802h,Rouen,Hôtel de Ville de Rouen,"Catalogue de la vingt-septième exposition municipale des beaux-arts ouverte à l'Hotel-de-Ville

",1880,octobre ,1,1880,novembre ,15,France ,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k1181803x/manifest.json,,,ark:/12148/bpt6k1181803x,Rouen,Musée de Rouen,"Catalogue de la vingt-huitième exposition municipale des beaux-arts ouverte au musée de Rouen

",1882,octobre ,1,1882,novembre ,15,France ,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k1180626x/manifest.json,,,ark:/12148/bpt6k1180626x,Rouen,Musée de Rouen,"Catalogue de la vingt-neuvième exposition municipale des beaux-arts ouverte au musée de Rouen

",1884,août ,12,1884,septembre ,30,France ,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k1180627b/manifest.json,,,ark:/12148/bpt6k1180627b,Rouen,Musée de Rouen,"Catalogue de la trentième exposition municipale des beaux-arts ouverte au musée de Rouen

",1886,octobre ,1,1886,novembre ,15,France ,,,,,,,,,,,
